dt_referencia;no_produto;no_indicador;vr_real
"2010-08-06";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.03
"2010-08-06";"soja";"Soja industrial tipo 1 sc 60 Kg";37.06
"2010-08-06";"trigo";"Trigo pão PH 78 sc 60 Kg";22.76
"2010-08-06";"boi";"Boi em pé arroba";80.41
"2010-08-06";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.46
"2010-08-06";"erva-mate";"Erva-mate folha em barranco arroba";6.08
"2010-08-06";"suíno";"Suíno em pé tipo carne não integrado kg";2.16
"2010-08-06";"vaca";"Vaca em pé (padrão corte) arroba";74.26
"2010-08-06";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";261.96
"2010-08-06";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-09";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-09";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.22
"2010-08-09";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-08-09";"café em coco";"Café em coco kg renda";4.25
"2010-08-09";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";86.25
"2010-08-09";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";67.8
"2010-08-09";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.14
"2010-08-09";"soja";"Soja industrial tipo 1 sc 60 Kg";37.58
"2010-08-09";"trigo";"Trigo pão PH 78 sc 60 Kg";22.8
"2010-08-09";"boi";"Boi em pé arroba";80.52
"2010-08-09";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.46
"2010-08-09";"erva-mate";"Erva-mate folha em barranco arroba";6.09
"2010-08-09";"suíno";"Suíno em pé tipo carne não integrado kg";2.17
"2010-08-09";"vaca";"Vaca em pé (padrão corte) arroba";74.5
"2010-08-09";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";263.3
"2010-08-09";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-10";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-10";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.22
"2010-08-10";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.29
"2010-08-10";"café em coco";"Café em coco kg renda";4.18
"2010-08-10";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";85.74
"2010-08-10";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";67.8
"2010-08-10";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.17
"2010-08-10";"soja";"Soja industrial tipo 1 sc 60 Kg";37.38
"2010-08-10";"trigo";"Trigo pão PH 78 sc 60 Kg";22.89
"2010-08-10";"boi";"Boi em pé arroba";80.94
"2010-08-10";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-10";"erva-mate";"Erva-mate folha em barranco arroba";6.09
"2010-08-10";"suíno";"Suíno em pé tipo carne não integrado kg";2.18
"2010-08-10";"vaca";"Vaca em pé (padrão corte) arroba";74.9
"2010-08-10";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";263.96
"2010-08-10";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-11";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-11";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";34.22
"2010-08-11";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.12
"2010-08-11";"café em coco";"Café em coco kg renda";4.15
"2010-08-11";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";85.05
"2010-08-11";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";67.94
"2010-08-11";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.14
"2010-08-11";"soja";"Soja industrial tipo 1 sc 60 Kg";37.24
"2010-08-11";"trigo";"Trigo pão PH 78 sc 60 Kg";22.89
"2010-08-11";"boi";"Boi em pé arroba";81.18
"2010-08-11";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-11";"erva-mate";"Erva-mate folha em barranco arroba";6.09
"2010-08-11";"suíno";"Suíno em pé tipo carne não integrado kg";2.18
"2010-08-11";"vaca";"Vaca em pé (padrão corte) arroba";75.12
"2010-08-11";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";263.96
"2010-08-11";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-12";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-12";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";33.48
"2010-08-12";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.12
"2010-08-12";"café em coco";"Café em coco kg renda";4.14
"2010-08-12";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";87.7
"2010-08-12";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";67.96
"2010-08-12";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.21
"2010-08-12";"soja";"Soja industrial tipo 1 sc 60 Kg";37.51
"2010-08-12";"trigo";"Trigo pão PH 78 sc 60 Kg";23.29
"2010-08-12";"boi";"Boi em pé arroba";81.33
"2010-08-12";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-12";"erva-mate";"Erva-mate folha em barranco arroba";6.09
"2010-08-12";"suíno";"Suíno em pé tipo carne não integrado kg";2.18
"2010-08-12";"vaca";"Vaca em pé (padrão corte) arroba";75.01
"2010-08-12";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";256.06
"2010-08-12";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-13";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-13";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";33.3
"2010-08-13";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.12
"2010-08-13";"café em coco";"Café em coco kg renda";4.18
"2010-08-13";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";86.38
"2010-08-13";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";67.96
"2010-08-13";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.28
"2010-08-13";"soja";"Soja industrial tipo 1 sc 60 Kg";37.82
"2010-08-13";"trigo";"Trigo pão PH 78 sc 60 Kg";23.5
"2010-08-13";"boi";"Boi em pé arroba";81.55
"2010-08-13";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-13";"erva-mate";"Erva-mate folha em barranco arroba";6.09
"2010-08-13";"suíno";"Suíno em pé tipo carne não integrado kg";2.19
"2010-08-13";"vaca";"Vaca em pé (padrão corte) arroba";75.27
"2010-08-13";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";262.88
"2010-08-13";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-16";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-16";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";33.3
"2010-08-16";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.12
"2010-08-16";"café em coco";"Café em coco kg renda";4.18
"2010-08-16";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";85.12
"2010-08-16";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";67.96
"2010-08-16";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.42
"2010-08-16";"soja";"Soja industrial tipo 1 sc 60 Kg";38.42
"2010-08-16";"trigo";"Trigo pão PH 78 sc 60 Kg";23.65
"2010-08-16";"boi";"Boi em pé arroba";81.66
"2010-08-16";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-16";"erva-mate";"Erva-mate folha em barranco arroba";6.09
"2010-08-16";"suíno";"Suíno em pé tipo carne não integrado kg";2.2
"2010-08-16";"vaca";"Vaca em pé (padrão corte) arroba";75.64
"2010-08-16";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";262.88
"2010-08-16";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-17";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-17";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-08-17";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.12
"2010-08-17";"café em coco";"Café em coco kg renda";4.2
"2010-08-17";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";85.12
"2010-08-17";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";67.27
"2010-08-17";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.64
"2010-08-17";"soja";"Soja industrial tipo 1 sc 60 Kg";38.46
"2010-08-17";"trigo";"Trigo pão PH 78 sc 60 Kg";23.75
"2010-08-17";"boi";"Boi em pé arroba";81.71
"2010-08-17";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-17";"erva-mate";"Erva-mate folha em barranco arroba";6.08
"2010-08-17";"suíno";"Suíno em pé tipo carne não integrado kg";2.21
"2010-08-17";"vaca";"Vaca em pé (padrão corte) arroba";75.73
"2010-08-17";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";265.64
"2010-08-17";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-18";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-18";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-08-18";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-08-18";"café em coco";"Café em coco kg renda";4.22
"2010-08-18";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";87.77
"2010-08-18";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";68.07
"2010-08-18";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.72
"2010-08-18";"soja";"Soja industrial tipo 1 sc 60 Kg";38.38
"2010-08-18";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-08-18";"boi";"Boi em pé arroba";81.76
"2010-08-18";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-18";"erva-mate";"Erva-mate folha em barranco arroba";6.08
"2010-08-18";"suíno";"Suíno em pé tipo carne não integrado kg";2.21
"2010-08-18";"vaca";"Vaca em pé (padrão corte) arroba";75.75
"2010-08-18";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";269.59
"2010-08-18";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-19";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-19";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-08-19";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-08-19";"café em coco";"Café em coco kg renda";4.22
"2010-08-19";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";87.98
"2010-08-19";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";68.46
"2010-08-19";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.81
"2010-08-19";"soja";"Soja industrial tipo 1 sc 60 Kg";38.64
"2010-08-19";"trigo";"Trigo pão PH 78 sc 60 Kg";23.94
"2010-08-19";"boi";"Boi em pé arroba";82.06
"2010-08-19";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-19";"erva-mate";"Erva-mate folha em barranco arroba";6.08
"2010-08-19";"suíno";"Suíno em pé tipo carne não integrado kg";2.25
"2010-08-19";"vaca";"Vaca em pé (padrão corte) arroba";75.98
"2010-08-19";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";269.59
"2010-08-19";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-20";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-20";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-08-20";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-08-20";"café em coco";"Café em coco kg renda";4.24
"2010-08-20";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";87.98
"2010-08-20";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";68.46
"2010-08-20";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.99
"2010-08-20";"soja";"Soja industrial tipo 1 sc 60 Kg";38.03
"2010-08-20";"trigo";"Trigo pão PH 78 sc 60 Kg";23.95
"2010-08-20";"boi";"Boi em pé arroba";82.1
"2010-08-20";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-20";"erva-mate";"Erva-mate folha em barranco arroba";6.08
"2010-08-20";"suíno";"Suíno em pé tipo carne não integrado kg";2.25
"2010-08-20";"vaca";"Vaca em pé (padrão corte) arroba";76.3
"2010-08-20";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";269.12
"2010-08-20";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-23";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-23";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-08-23";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-08-23";"café em coco";"Café em coco kg renda";4.24
"2010-08-23";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";88.09
"2010-08-23";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";68.46
"2010-08-23";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.98
"2010-08-23";"soja";"Soja industrial tipo 1 sc 60 Kg";37.91
"2010-08-23";"trigo";"Trigo pão PH 78 sc 60 Kg";23.92
"2010-08-23";"boi";"Boi em pé arroba";82.82
"2010-08-23";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-23";"erva-mate";"Erva-mate folha em barranco arroba";6.07
"2010-08-23";"suíno";"Suíno em pé tipo carne não integrado kg";2.26
"2010-08-23";"vaca";"Vaca em pé (padrão corte) arroba";77.15
"2010-08-23";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";269.12
"2010-08-23";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-24";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-24";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-08-24";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-08-24";"café em coco";"Café em coco kg renda";4.26
"2010-08-24";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";85.93
"2010-08-24";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";68.02
"2010-08-24";"milho";"Milho amarelo tipo 1 sc 60 Kg";15.06
"2010-08-24";"soja";"Soja industrial tipo 1 sc 60 Kg";37.94
"2010-08-24";"trigo";"Trigo pão PH 78 sc 60 Kg";24.06
"2010-08-24";"boi";"Boi em pé arroba";83.34
"2010-08-24";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-24";"erva-mate";"Erva-mate folha em barranco arroba";6.07
"2010-08-24";"suíno";"Suíno em pé tipo carne não integrado kg";2.27
"2010-08-24";"vaca";"Vaca em pé (padrão corte) arroba";77.24
"2010-08-24";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";269.96
"2010-08-24";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-25";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-25";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-08-25";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-08-25";"café em coco";"Café em coco kg renda";4.2
"2010-08-25";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";83.4
"2010-08-25";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";66.59
"2010-08-25";"milho";"Milho amarelo tipo 1 sc 60 Kg";15.15
"2010-08-25";"soja";"Soja industrial tipo 1 sc 60 Kg";37.5
"2010-08-25";"trigo";"Trigo pão PH 78 sc 60 Kg";23.95
"2010-08-25";"boi";"Boi em pé arroba";83.64
"2010-08-25";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-25";"erva-mate";"Erva-mate folha em barranco arroba";6.51
"2010-08-25";"suíno";"Suíno em pé tipo carne não integrado kg";2.28
"2010-08-25";"vaca";"Vaca em pé (padrão corte) arroba";77.39
"2010-08-25";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";267.56
"2010-08-25";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-26";"algodão";"Pesquisa descontinuada (Algodão)";""
"2010-08-26";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";""
"2010-08-26";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";""
"2010-08-26";"café em coco";"Café em coco kg renda";""
"2010-08-26";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";""
"2010-08-26";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";""
"2010-08-26";"milho";"Milho amarelo tipo 1 sc 60 Kg";""
"2010-08-26";"soja";"Soja industrial tipo 1 sc 60 Kg";""
"2010-08-26";"trigo";"Trigo pão PH 78 sc 60 Kg";""
"2010-08-26";"boi";"Boi em pé arroba";""
"2010-08-26";"frango vivo";"Pesquisa descontinuada (Frango vivo)";""
"2010-08-26";"erva-mate";"Erva-mate folha em barranco arroba";""
"2010-08-26";"suíno";"Suíno em pé tipo carne não integrado kg";""
"2010-08-26";"vaca";"Vaca em pé (padrão corte) arroba";""
"2010-08-26";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";""
"2010-08-26";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-27";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-27";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-08-27";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-08-27";"café em coco";"Café em coco kg renda";4.05
"2010-08-27";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";84.53
"2010-08-27";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";66.59
"2010-08-27";"milho";"Milho amarelo tipo 1 sc 60 Kg";15.26
"2010-08-27";"soja";"Soja industrial tipo 1 sc 60 Kg";38.11
"2010-08-27";"trigo";"Trigo pão PH 78 sc 60 Kg";24.3
"2010-08-27";"boi";"Boi em pé arroba";84.53
"2010-08-27";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-27";"erva-mate";"Erva-mate folha em barranco arroba";6.51
"2010-08-27";"suíno";"Suíno em pé tipo carne não integrado kg";2.32
"2010-08-27";"vaca";"Vaca em pé (padrão corte) arroba";78.4
"2010-08-27";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";266.47
"2010-08-27";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-30";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-30";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-08-30";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-08-30";"café em coco";"Café em coco kg renda";4.19
"2010-08-30";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";85.28
"2010-08-30";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";66.59
"2010-08-30";"milho";"Milho amarelo tipo 1 sc 60 Kg";15.26
"2010-08-30";"soja";"Soja industrial tipo 1 sc 60 Kg";38.43
"2010-08-30";"trigo";"Trigo pão PH 78 sc 60 Kg";24.18
"2010-08-30";"boi";"Boi em pé arroba";84.88
"2010-08-30";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.45
"2010-08-30";"erva-mate";"Erva-mate folha em barranco arroba";6.51
"2010-08-30";"suíno";"Suíno em pé tipo carne não integrado kg";2.27
"2010-08-30";"vaca";"Vaca em pé (padrão corte) arroba";79.12
"2010-08-30";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";264.89
"2010-08-30";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-08-31";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-08-31";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-08-31";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-08-31";"café em coco";"Café em coco kg renda";4.18
"2010-08-31";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";84.09
"2010-08-31";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";67.08
"2010-08-31";"milho";"Milho amarelo tipo 1 sc 60 Kg";15.62
"2010-08-31";"soja";"Soja industrial tipo 1 sc 60 Kg";38.48
"2010-08-31";"trigo";"Trigo pão PH 78 sc 60 Kg";24.33
"2010-08-31";"boi";"Boi em pé arroba";85.23
"2010-08-31";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.47
"2010-08-31";"erva-mate";"Erva-mate folha em barranco arroba";6.56
"2010-08-31";"suíno";"Suíno em pé tipo carne não integrado kg";2.28
"2010-08-31";"vaca";"Vaca em pé (padrão corte) arroba";79.15
"2010-08-31";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";264.26
"2010-08-31";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-09-01";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-09-01";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-09-01";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-09-01";"café em coco";"Café em coco kg renda";4.18
"2010-09-01";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";84.99
"2010-09-01";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";67.78
"2010-09-01";"milho";"Milho amarelo tipo 1 sc 60 Kg";15.46
"2010-09-01";"soja";"Soja industrial tipo 1 sc 60 Kg";38.34
"2010-09-01";"trigo";"Trigo pão PH 78 sc 60 Kg";24.25
"2010-09-01";"boi";"Boi em pé arroba";85.26
"2010-09-01";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.47
"2010-09-01";"erva-mate";"Erva-mate folha em barranco arroba";6.56
"2010-09-01";"suíno";"Suíno em pé tipo carne não integrado kg";2.27
"2010-09-01";"vaca";"Vaca em pé (padrão corte) arroba";79.14
"2010-09-01";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";263.64
"2010-09-01";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-09-02";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-09-02";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.82
"2010-09-02";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-09-02";"café em coco";"Café em coco kg renda";4.19
"2010-09-02";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";85.1
"2010-09-02";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";68.17
"2010-09-02";"milho";"Milho amarelo tipo 1 sc 60 Kg";15.55
"2010-09-02";"soja";"Soja industrial tipo 1 sc 60 Kg";38.36
"2010-09-02";"trigo";"Trigo pão PH 78 sc 60 Kg";24.49
"2010-09-02";"boi";"Boi em pé arroba";85.36
"2010-09-02";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.47
"2010-09-02";"erva-mate";"Erva-mate folha em barranco arroba";6.56
"2010-09-02";"suíno";"Suíno em pé tipo carne não integrado kg";2.28
"2010-09-02";"vaca";"Vaca em pé (padrão corte) arroba";79.09
"2010-09-02";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";264.9
"2010-09-02";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-09-03";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-09-03";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";31.94
"2010-09-03";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.14
"2010-09-03";"café em coco";"Café em coco kg renda";4.22
"2010-09-03";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";85.33
"2010-09-03";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";69.21
"2010-09-03";"milho";"Milho amarelo tipo 1 sc 60 Kg";15.87
"2010-09-03";"soja";"Soja industrial tipo 1 sc 60 Kg";38.19
"2010-09-03";"trigo";"Trigo pão PH 78 sc 60 Kg";24.77
"2010-09-03";"boi";"Boi em pé arroba";85.15
"2010-09-03";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.47
"2010-09-03";"erva-mate";"Erva-mate folha em barranco arroba";6.57
"2010-09-03";"suíno";"Suíno em pé tipo carne não integrado kg";2.28
"2010-09-03";"vaca";"Vaca em pé (padrão corte) arroba";78.44
"2010-09-03";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";265.84
"2010-09-03";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-09-06";"algodão";"Pesquisa descontinuada (Algodão)";""
"2010-09-06";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";""
"2010-09-06";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";""
"2010-09-06";"café em coco";"Café em coco kg renda";""
"2010-09-06";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";""
"2010-09-06";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";""
"2010-09-06";"milho";"Milho amarelo tipo 1 sc 60 Kg";""
"2010-09-06";"soja";"Soja industrial tipo 1 sc 60 Kg";""
"2010-09-06";"trigo";"Trigo pão PH 78 sc 60 Kg";""
"2010-09-06";"boi";"Boi em pé arroba";""
"2010-09-06";"frango vivo";"Pesquisa descontinuada (Frango vivo)";""
"2010-09-06";"erva-mate";"Erva-mate folha em barranco arroba";""
"2010-09-06";"suíno";"Suíno em pé tipo carne não integrado kg";""
"2010-09-06";"vaca";"Vaca em pé (padrão corte) arroba";""
"2010-09-06";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";""
"2010-09-06";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-09-07";"algodão";"Pesquisa descontinuada (Algodão)";""
"2010-09-07";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";""
"2010-09-07";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";""
"2010-09-07";"café em coco";"Café em coco kg renda";""
"2010-09-07";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";""
"2010-09-07";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";""
"2010-09-07";"milho";"Milho amarelo tipo 1 sc 60 Kg";""
"2010-09-07";"soja";"Soja industrial tipo 1 sc 60 Kg";""
"2010-09-07";"trigo";"Trigo pão PH 78 sc 60 Kg";""
"2010-09-07";"boi";"Boi em pé arroba";""
"2010-09-07";"frango vivo";"Pesquisa descontinuada (Frango vivo)";""
"2010-09-07";"erva-mate";"Erva-mate folha em barranco arroba";""
"2010-09-07";"suíno";"Suíno em pé tipo carne não integrado kg";""
"2010-09-07";"vaca";"Vaca em pé (padrão corte) arroba";""
